"from","to","weight"
"Akhilesh Vyas","Christoph Lange 0002",2
"Akhilesh Vyas","Dharmen Punjani",2
"Ioanna Lytra","Akhilesh Vyas",2
"Akhilesh Vyas","Jens Lehmann 0001",2
"Kuldeep Singh 0001","Akhilesh Vyas",2
"Akhilesh Vyas","Maria-Esther Vidal",2
"Ricardo Usbeck","Akhilesh Vyas",2
"Akhilesh Vyas","Sören Auer",2
"Saeedeh Shekarpour","Akhilesh Vyas",2
"Akihiro Yamaguchi","Ken Ueno",2
"Akihiro Yamaguchi","Shigeru Maya",2
"Akihiro Yamaguchi","Takeichiro Nishikawa",2
"Akihiro Yamaguchi","Tatsuya Inagi",2
"Akira Tanaka","Akihiro Yoshida",2
"Akihiro Yoshida","Jun Ozawa",2
"Akihiro Yoshida","Katsuki Fujisawa",2
"Akihiro Yoshida","Nariaki Tateiwa",2
"Nozomi Hata","Akihiro Yoshida",2
"Takashi Nakayama","Akihiro Yoshida",2
"Takashi Wakamatsu","Akihiro Yoshida",2
"Akihiro Yoshida","Yuri Nishikawa",2
"Makoto P. Kato","Akiomi Nishida",2
"Sumio Fujita","Akiomi Nishida",2
"Akiomi Nishida","Takehiro Yamamoto",2
"Tomohiro Manabe","Akiomi Nishida",2
"Masaru Higashi","Akira Ishii",2
"Nozomi Okano","Akira Ishii",2
"Takuya Ueoka","Akira Ishii",2
"Toshimichi Wakabayashi","Akira Ishii",2
"Yasuko Kawahata","Akira Ishii",2
"Akira Tanaka","Jun Ozawa",2
"Akira Tanaka","Katsuki Fujisawa",2
"Akira Tanaka","Nariaki Tateiwa",2
"Nozomi Hata","Akira Tanaka",2
"Takashi Nakayama","Akira Tanaka",2
"Akira Tanaka","Takashi Wakamatsu",2
"Akira Tanaka","Yuri Nishikawa",2
"Andreas Both","Akmal Khikmatullaev",2
"Arun Sethupat Radhakrishna","Akmal Khikmatullaev",2
"Akmal Khikmatullaev","Christoph Lange 0002",2
"Akmal Khikmatullaev","Dharmen Punjani",2
"Ioanna Lytra","Akmal Khikmatullaev",2
"Akmal Khikmatullaev","Jens Lehmann 0001",2
"Kuldeep Singh 0001","Akmal Khikmatullaev",2
"Akmal Khikmatullaev","Maria-Esther Vidal",2
"Ricardo Usbeck","Akmal Khikmatullaev",2
"Akmal Khikmatullaev","Sören Auer",2
"Saeedeh Shekarpour","Akmal Khikmatullaev",2
"April Z. Gu","Akram Alshawabkeh",2
"Carmen Velez Vega","Akram Alshawabkeh",4
"Chieh Wu","Akram Alshawabkeh",2
"David R. Kaeli","Akram Alshawabkeh",4
"Guangyu Li","Akram Alshawabkeh",2
"Ingrid Y. Padilla","Akram Alshawabkeh",4
"Jennifer G. Dy","Akram Alshawabkeh",2
"John Meeker","Akram Alshawabkeh",4
"José Cordero","Akram Alshawabkeh",4
"Leiming Yu","Akram Alshawabkeh",2
"Sheikh Mokhlesur Rahman","Akram Alshawabkeh",2
"Shi Dong","Akram Alshawabkeh",4
"Xiangyu Li","Akram Alshawabkeh",2
"Zaira Rosario","Akram Alshawabkeh",4
"Zlatan Feric","Akram Alshawabkeh",4
"Akshay Deshmukh","Cyrus Shahabi",2
"Seon Ho Kim","Akshay Deshmukh",2
"Shivnesh Rajan","Akshay Deshmukh",2
"Akshay Kumar","Charles Clancy",2
"Dhaval Patel","Akshay Rangamani",2
"Akshay Rangamani","Jayant Kalagnanam",2
"Lam M. Nguyen","Akshay Rangamani",2
"Akshay Rangamani","Shrey Shrivastava",2
"Akshit Bhatnagar","Alison Kwan",2
"Daniel Crawl","Akshit Bhatnagar",2
"Akshit Bhatnagar","Federico Rodríguez",2
"Akshit Bhatnagar","Ilkay Altintas",2
"Jessica Block","Akshit Bhatnagar",2
"Mai H. Nguyen","Akshit Bhatnagar",2
"Akshit Bhatnagar","Namrita Baru",2
"Vincent Siu","Akshit Bhatnagar",2
"Alain Barrat","Ciro Cattuto",2
"Edoardo Galimberti","Alain Barrat",2
"Alain Barrat","Francesco Bonchi",2
"Alain Barrat","Francesco Gullo",2
"Alan Chern","Chris Min",2
"Alan Chern","Faizan Javed",2
"Josh Chao","Alan Chern",2
"Qiaoling Liu","Alan Chern",2
"Thomas Mahoney","Alan Chern",2
"Alan Chern","Valentin Jijkoun",2
"Alan Fern","Alec Theriault",2
"Alan Fern","David W. Archer",2
"Md Amran Siddiqui","Alan Fern",2
"Alan Fern","Ryan Wright",2
"Alan Fern","Thomas G. Dietterich",2
"Alan Medlar","Dorota Glowacka",2
"Alan Mislove","Christo Wilson",2
"Le Chen","Alan Mislove",2
"Shan Jiang 0008","Alan Mislove",2
"Alban Siffer","Alexandre Termier",2
"Alban Siffer","Christine Largouët",2
"Alban Siffer","Pierre-Alain Fouque",2
"Jacob Montiel","Albert Bifet",2
"Albert Bifet","Jesse Read",2
"Maroua Bahri","Albert Bifet",2
"Mostafa Haghir Chehreghani","Albert Bifet",4
"Silviu Maniu","Albert Bifet",2
"Albert Bifet","Talel Abdessalem",6
"Albert Bifet","Viktor Losing",2
"Fedor Borisyuk","Albert Gordo",2
"Albert Gordo","Viswanath Sivakumar",2
"Alberto H. F. Laender","Nivio Ziviani",2
"Alberto H. F. Laender","Pedro O. S. Vaz de Melo",2
"Thiago H. P. Silva","Alberto H. F. Laender",2
"Tiago Alves 0002","Alberto H. F. Laender",2
"Albrecht Zimmermann","Bruno Crémilleux",2
"Maksim Koptelov","Albrecht Zimmermann",2
"Albrecht Zimmermann","Pascal Bonnet",2
"Albrecht Zimmermann","Ronan Bureau",2
"Andy Feng","Aldi Tjahjadi",2
"Erik Ordentlich","Aldi Tjahjadi",2
"Reena Somvanshi","Aldi Tjahjadi",2
"Xiao Bai 0002","Aldi Tjahjadi",2
"Yuanyuan Zhang","Aldi Tjahjadi",2
"Alec Theriault","David W. Archer",2
"Md Amran Siddiqui","Alec Theriault",2
"Ryan Wright","Alec Theriault",2
"Thomas G. Dietterich","Alec Theriault",2
"Alejandro Gómez-Boix","Benoit Baudry",2
"Alejandro Gómez-Boix","Pierre Laperdrix",2
"Andrea Esuli","Alejandro Moreo Fernández",2
"Alejandro Moreo Fernández","Fabrizio Sebastiani 0001",2
"Aleksandr Fritz","Anthony F. Breitzman",2
"Bo Beth Sun","Aleksandr Fritz",2
"Aleksandr Fritz","Brendan Armstrong",2
"Aleksandr Fritz","Brennan Ringel",2
"Eric Zielonka","Aleksandr Fritz",2
"Aleksandr Fritz","Jason Snouffer",2
"Aleksandr Fritz","Jean Kirschner",2
